Price,Close,ret,vol,ret_1,z_ret,mom_20_100,drawdown,state_raw,regime_viterbi,p_bear,p_bear_ema,bear_confirm_trend,bear_confirm_dd,bull_confirm_trend,bull_confirm_dd,bear_confirm,bull_confirm,regime
Ticker,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2000-01-31,0.7786465287208557,0.020694662142500486,0.055532047667160286,-0.07919129506299452,0.4446509717868972,0.0,-0.08590351926054551,1,1,1.0,1.0,False,True,False,False,True,False,0
2000-02-01,0.7523788213729858,-0.03431724392237279,0.0544744553884176,0.020694662142500486,-0.5287531748971774,-0.004227342153749351,-0.11674064234285975,1,1,0.9999999589417721,0.9999999951696202,False,True,False,False,True,False,0
2000-02-02,0.7415902018547058,-0.014443146940929519,0.05097667138920459,-0.03431724392237279,-0.1600620364729722,-0.004084437040583163,-0.12940600302956007,1,1,0.9999996107654472,0.9999999499455998,False,True,False,False,True,False,0
2000-02-03,0.7753633260726929,0.04453492533868525,0.051916463496066316,-0.014443146940929519,0.9098151366546382,-0.004544628150785333,-0.08975785351304688,1,1,0.999999838808448,0.9999999368706407,False,True,False,False,True,False,0
2000-02-04,0.8105432987213135,0.04437303465060477,0.04821392166743676,0.04453492533868525,0.8715739353847517,-0.00024722005022439185,-0.048458126352582176,1,1,0.9999995500185026,0.9999998913586244,False,False,False,False,False,False,0
2000-02-07,0.856042206287384,0.05461491935309237,0.04861100130010821,0.04437303465060477,1.0195444584557232,0.0025985088124296216,0.0,1,1,0.999999451916815,0.999999839659588,False,False,True,True,False,True,0
2000-02-08,0.8621407151222229,0.007098818605539847,0.048266204636134874,0.05461491935309237,0.11725851732201562,0.006671432579693259,0.0,1,1,0.9998833626592456,0.9999861364830772,False,False,True,True,False,True,0
2000-02-09,0.8452533483505249,-0.019782096989111014,0.04663157971298582,0.007098818605539847,-0.393870096627575,0.013143471757834332,-0.01958771517861091,1,1,0.9929158261815771,0.999154335271136,False,False,True,True,False,True,0
2000-02-10,0.8518209457397461,0.007739944207513727,0.04350277736166935,-0.019782096989111014,0.1449456126334963,0.022565086220968148,-0.011969936231365441,1,1,0.9693073131924522,0.9956429209089378,False,False,True,True,False,True,0
2000-02-11,0.8161717057228088,-0.04275159065259643,0.039569515388866834,0.007739944207513727,-0.8410698396508304,0.02693681768593468,-0.05331961313635114,1,1,0.9518960272137218,0.99049622753303,False,True,True,False,False,True,0
2000-02-14,0.8691759705543518,0.06292084601847461,0.04102514636575838,-0.04275159065259643,1.231590423546149,0.030683964233246895,0.0,1,1,0.9467217589413753,0.9853462900516589,False,False,True,True,False,True,0
2000-02-15,0.8930982351303101,0.027150978044801738,0.040808067691005354,0.06292084601847461,0.5073857834992757,0.033481206510652874,0.0,1,1,0.8792834950778902,0.972868314172392,False,False,True,True,False,True,0
2000-02-16,0.8565112352371216,-0.041829145278346413,0.0419579647758431,0.027150978044801738,-0.861230767612865,0.03447692663797878,-0.04096637800191172,1,1,0.5657231507472241,0.9249688831811956,False,False,True,False,False,True,0
2000-02-17,0.8621407151222229,0.006551064649263777,0.03956451108503462,-0.041829145278346413,0.11837342857519234,0.032489360839340044,-0.034663062572920844,2,0,0.16351358802784924,0.8353859072808019,False,False,True,False,False,True,0
2000-02-18,0.8349350094795227,-0.03206461107919806,0.03999887672665451,0.006551064649263777,-0.6629973678151279,0.031023295194882304,-0.06512522739707449,2,0,0.03243129077359486,0.740920658279954,False,True,True,False,False,True,0
2000-02-22,0.8541660904884338,0.022771771365142024,0.038739261180850096,-0.03206461107919806,0.4690124452564129,0.032512909477364516,-0.043592231078808164,2,0,0.0055631795488155404,0.6544080137233494,False,False,True,False,False,True,0
2000-02-23,0.8724591732025146,0.021190199862459902,0.03707765052414912,0.022771771365142024,0.4284443772261241,0.03178863898320028,-0.02310950925211941,2,0,0.00046535475739172076,0.5774735832567661,False,False,True,True,False,True,0
2000-02-24,0.8646025657653809,-0.009045920286490428,0.03686421023079529,0.021190199862459902,-0.21266082600547037,0.031954567846594985,-0.031906534179603985,2,0,0.00012793786696978037,0.5095505661520842,False,False,True,False,False,True,0
2000-02-25,0.8283675909042358,-0.042812933568283085,0.03821612336321674,-0.009045920286490428,-0.9183615547503402,0.031292745990335866,-0.07247875057846187,2,0,0.0003720595380083661,0.4496472124327811,False,True,True,False,False,True,0
2000-02-28,0.8499448299407959,0.02571443518998831,0.033680369615751674,-0.042812933568283085,0.5550841892816166,0.03520838321860692,-0.04831876661722179,2,0,0.0016747544304974433,0.39694457031486535,False,False,True,False,False,True,0
2000-02-29,0.8602641820907593,0.01206808912658558,0.0335292966712823,0.02571443518998831,0.2535027587481246,0.03850699015281566,-0.03676421220870518,2,0,0.020021951716027667,0.35260073283264914,False,False,True,False,False,True,0
2000-03-01,0.9779989719390869,0.1282690882947767,0.042110713984396586,0.01206808912658558,2.541470501821898,0.047069916384144476,0.0,1,1,0.9999741147115576,0.4287623071713443,False,False,True,True,False,True,0
2000-03-02,0.9156136512756348,-0.06591412122986974,0.04533295457185114,0.1282690882947767,-1.3720822917096862,0.05455910472752737,-0.06378873848891708,1,1,0.9999999999781721,0.4959667416192064,False,True,True,False,False,True,0
2000-03-03,0.9606435894966125,0.04800896794862021,0.0454764974559482,-0.06591412122986974,0.9059074149951999,0.06148078898658768,-0.01774580847264462,1,1,0.9999993500680213,0.5552646955543611,False,False,True,True,False,True,0
2000-03-06,0.9432884454727173,-0.018231349033522908,0.0451914116481576,0.04800896794862021,-0.4271618846619731,0.06585718606098913,-0.03549137316325468,1,1,0.999940702834558,0.6075795199402666,False,False,True,False,False,True,0
2000-03-07,0.9221803545951843,-0.022631299746271698,0.04425144684657214,-0.018231349033522908,-0.5096266678889405,0.06692853417545029,-0.057074310858661326,1,1,0.9996400390682436,0.6537042868964992,False,True,True,False,True,True,0
2000-03-08,0.9156136512756348,-0.0071463191688256045,0.044308823405266685,-0.022631299746271698,-0.1886160515663428,0.06753877835127649,-0.06378873848891708,1,1,0.999408284871792,0.6943753454818278,False,True,True,False,True,True,0
2000-03-09,0.9174900054931641,0.0020471890565651463,0.04398554704509749,-0.0071463191688256045,0.002766022576140335,0.06934210404777665,-0.06187017387753613,1,1,0.999305761403759,0.7302495120608785,False,True,True,False,True,True,0
2000-03-10,0.9437577128410339,0.028227786402697762,0.04431213514557781,0.0020471890565651463,0.5463976207255339,0.07172525298962477,-0.035011549173883605,1,1,0.9995259915162079,0.7619290978791525,False,False,True,False,False,True,0
2000-03-13,0.9104538559913635,-0.035926255048958695,0.0439488064277814,0.028227786402697762,-0.8008068262723865,0.0752444763097423,-0.06906460833368888,1,1,0.9998174064124398,0.7899159577065981,False,True,True,False,True,True,0
