type,start_date,start_price,end_date,end_price,n_days,return_pct,direction_ok
bear_candidate,2022-09-06,13.445607,2023-03-16,25.522652,133,0.898215,False
bear_candidate,2024-09-09,106.436378,2024-09-11,116.873077,3,0.098056,False
bear_candidate,2025-03-05,117.281067,2025-05-13,129.920975,49,0.107774,False
bear_confirmed,2022-09-06,13.445607,2022-11-09,13.760243,47,0.023401,False
bull_candidate,2023-03-23,27.171463,2023-06-07,37.451946,53,0.378356,True
bull_candidate,2023-06-28,41.091717,2024-08-12,108.985573,283,1.652252,True
bull_candidate,2024-09-18,113.343895,2025-02-06,128.65921,97,0.135123,True
bull_candidate,2025-05-20,134.370667,2025-09-05,167.020004,75,0.24298,True
bull_confirmed,2022-11-10,15.731989,2025-09-05,167.020004,706,9.616585,True
